ANO_ELEICAO,nep,ambito
1986,2.829672492990514,cadeira
1990,8.69357110950761,cadeira
1994,8.160532109522777,cadeira
1998,7.141822030448586,cadeira
2002,8.49178793843374,cadeira
2006,9.289082630334264,cadeira
2010,10.397416143178853,cadeira
2014,13.270586455549392,cadeira
2018,16.542145955119743,cadeira
2022,9.245353943439312,cadeira
