ANO_ELEICAO,ESTADOS,nep,ambito
1994,AC,3.388032220731211,voto
1994,AL,8.186211180654835,voto
1994,AM,5.295012084183461,voto
1994,AP,5.882913071257587,voto
1994,BA,5.734273655775341,voto
1994,CE,3.509643292021353,voto
1994,DF,5.036842064199891,voto
1994,ES,5.963127550045318,voto
1994,GO,4.8362825443366395,voto
1994,MG,7.268628471249575,voto
1994,MS,5.091169855783152,voto
1994,MT,9.966353317840849,voto
1994,PA,4.562857665408662,voto
1994,PB,3.1812132540398346,voto
1994,PE,3.916749644356702,voto
1994,PI,4.431139328382068,voto
1994,PR,7.831440654865311,voto
1994,RJ,9.784498624209595,voto
1994,RN,3.543274803051807,voto
1994,RO,7.086967788398074,voto
1994,RR,3.8363922912318413,voto
1994,RS,5.794184141746755,voto
1994,SC,4.900108194445585,voto
1994,SE,7.0417248805394115,voto
1994,SP,6.694078767881402,voto
1994,TO,4.096334865206581,voto
1998,AC,4.5611592847244085,voto
1998,AL,9.453638889577185,voto
1998,AM,4.389842169184046,voto
1998,AP,8.53355224071404,voto
1998,BA,3.7712377765483764,voto
1998,CE,3.860083232499799,voto
1998,DF,6.925160307172069,voto
1998,ES,6.406672093652216,voto
1998,GO,3.994586018045447,voto
1998,MA,6.7191950069174196,voto
1998,MG,7.208221149291938,voto
1998,MS,6.098390025901318,voto
1998,MT,4.604666893440277,voto
1998,PA,6.743029030408198,voto
1998,PB,4.322320802611987,voto
1998,PE,5.850729150826364,voto
1998,PI,4.315840344577937,voto
1998,PR,6.961833067547805,voto
1998,RJ,8.284485226112412,voto
1998,RN,4.268035806020153,voto
1998,RO,7.120843550517356,voto
1998,RR,4.11693658798181,voto
1998,RS,5.902632462005061,voto
1998,SC,5.531186182315804,voto
1998,SE,8.398834006005924,voto
1998,SP,7.725162293125872,voto
1998,TO,3.4744988580733596,voto
2002,AC,7.646563840688362,voto
2002,AL,8.732102566339872,voto
2002,AM,5.035866789099675,voto
2002,AP,8.782986208258833,voto
2002,BA,4.364010010332816,voto
2002,CE,5.7727701337961985,voto
2002,DF,4.5424425440725145,voto
2002,ES,9.816786356858982,voto
2002,GO,5.694127600579114,voto
2002,MA,6.469576011381895,voto
2002,MG,8.5854933254571435,voto
2002,MS,6.184843985429432,voto
2002,MT,6.072020287361549,voto
2002,PA,6.14902512471714,voto
2002,PB,7.207008310382039,voto
2002,PE,7.918161997639596,voto
2002,PI,5.079659721477381,voto
2002,PR,8.159114997470354,voto
2002,RJ,11.263272688102283,voto
2002,RN,5.650837370576748,voto
2002,RO,7.7628446658406,voto
2002,RR,6.5328089534512666,voto
2002,RS,6.86793762401443,voto
2002,SC,5.639053393682642,voto
2002,SE,10.057129526834176,voto
2002,SP,7.998614211233119,voto
2002,TO,5.134355074177434,voto
2006,AC,7.855993209561456,voto
2006,AL,10.251130623774783,voto
2006,AM,9.283527466174851,voto
2006,AP,8.62790148613545,voto
2006,BA,5.577595552842523,voto
2006,CE,6.479344087121327,voto
2006,DF,6.942247299954209,voto
2006,ES,7.170338254482136,voto
2006,GO,6.608082629707523,voto
2006,MA,9.085917911939715,voto
2006,MG,10.377107616685278,voto
2006,MS,5.640238026525987,voto
2006,MT,8.06709664760828,voto
2006,PA,6.504686567029759,voto
2006,PB,6.422041478285086,voto
2006,PE,9.637749516567851,voto
2006,PI,7.646861824388404,voto
2006,PR,7.923571048407683,voto
2006,RJ,12.872641611025992,voto
2006,RN,7.635812345816897,voto
2006,RO,7.259183098009881,voto
2006,RR,11.412081991272577,voto
2006,RS,8.521627923445497,voto
2006,SC,6.231846608390845,voto
2006,SE,7.627881408675263,voto
2006,SP,8.928167314062787,voto
2006,TO,5.712129366099092,voto
2010,AC,7.019240146973399,voto
2010,AL,7.623145383836436,voto
2010,AM,9.512171267818598,voto
2010,AP,11.486341668821336,voto
2010,BA,8.4516132347057,voto
2010,CE,8.125860524377266,voto
2010,DF,6.991235359237548,voto
2010,ES,7.968474525945147,voto
2010,GO,8.456816203058908,voto
2010,MA,9.2901636490417,voto
2010,MG,10.843941181139716,voto
2010,MS,5.993916376600615,voto
2010,MT,8.101438344622988,voto
2010,PA,6.8486519617550226,voto
2010,PB,5.9810607965916365,voto
2010,PE,8.420505382775119,voto
2010,PI,6.831601252197875,voto
2010,PR,10.3881671173181,voto
2010,RJ,11.839618309574675,voto
2010,RN,8.409617680333094,voto
2010,RO,7.783450914713655,voto
2010,RR,8.808784115655008,voto
2010,RS,7.828963420130115,voto
2010,SC,6.295361538941219,voto
2010,SE,8.042997877889874,voto
2010,SP,9.209314838519653,voto
2010,TO,7.779461345603957,voto
2014,AC,9.582176927598677,voto
2014,AL,10.663715649716499,voto
2014,AM,9.5569478854363,voto
2014,AP,17.047094926914095,voto
2014,BA,11.387302369365921,voto
2014,CE,11.18431057573775,voto
2014,DF,13.337735555683038,voto
2014,ES,11.438309673273611,voto
2014,GO,7.054992056087633,voto
2014,MA,15.671288748957757,voto
2014,MG,11.916053142921458,voto
2014,MS,6.212291867191299,voto
2014,MT,10.389881814058542,voto
2014,PA,11.298778151451748,voto
2014,PB,9.904037705459595,voto
2014,PE,8.222114074318911,voto
2014,PI,8.180014655851545,voto
2014,PR,13.33418071975347,voto
2014,RJ,12.83212576803302,voto
2014,RN,11.694158282661865,voto
2014,RO,8.15158587944274,voto
2014,RR,13.141236471785735,voto
2014,RS,7.650667628050621,voto
2014,SC,7.45158766504663,voto
2014,SE,12.022601496737847,voto
2014,SP,11.040755264994274,voto
2014,TO,6.654936111700725,voto
2018,AC,14.78576568113263,voto
