ANO_ELEICAO,ESTADOS,nep,ambito
1994,Acre,3.38803222073121,voto
1994,Alagoas,8.186211180654837,voto
1994,Amazonas,5.295012084183461,voto
1994,Amapá,5.882913071257588,voto
1994,Bahia,5.73427365577534,voto
1994,Ceará,3.509643292021352,voto
1994,Distrito Federal,5.036842064199891,voto
1994,Espírito Santo,5.963127550045319,voto
1994,Goiás,4.83628254433664,voto
1994,Minas Gerais,7.268628471249579,voto
1994,M. G. do Sul,5.091169855783152,voto
1994,Mato Grosso,9.966353317840847,voto
1994,Pará,4.562857665408661,voto
1994,Paraíba,3.181213254039836,voto
1994,Pernambuco,3.916749644356702,voto
1994,Piauí,4.431139328382067,voto
1994,Paraná,7.831440654865309,voto
1994,Rio de Janeiro,9.784498624209595,voto
1994,R. G. do Norte,3.543274803051807,voto
1994,Rondônia,7.086967788398074,voto
1994,Roraima,3.8363922912318422,voto
1994,R. G. do Sul,5.794184141746756,voto
1994,Santa Catarina,4.900108194445585,voto
1994,Sergipe,7.0417248805394115,voto
1994,São Paulo,6.694078767881402,voto
1994,Tocantins,4.096334865206581,voto
1998,Acre,4.5611592847244085,voto
1998,Alagoas,9.453638889577185,voto
1998,Amazonas,4.389842169184046,voto
1998,Amapá,8.533552240714037,voto
1998,Bahia,3.7712377765483773,voto
1998,Ceará,3.8600832324998,voto
1998,Distrito Federal,6.925160307172069,voto
1998,Espírito Santo,6.406672093652216,voto
1998,Goiás,3.994586018045447,voto
1998,Maranhão,6.719195006917417,voto
1998,Minas Gerais,7.208221149291936,voto
1998,M. G. do Sul,6.098390025901318,voto
1998,Mato Grosso,4.604666893440277,voto
1998,Pará,6.743029030408198,voto
1998,Paraíba,4.322320802611987,voto
1998,Pernambuco,5.850729150826363,voto
1998,Piauí,4.315840344577937,voto
1998,Paraná,6.961833067547802,voto
1998,Rio de Janeiro,8.284485226112412,voto
1998,R. G. do Norte,4.268035806020153,voto
1998,Rondônia,7.120843550517357,voto
1998,Roraima,4.11693658798181,voto
1998,R. G. do Sul,5.902632462005061,voto
1998,Santa Catarina,5.531186182315804,voto
1998,Sergipe,8.398834006005925,voto
1998,São Paulo,7.725162293125872,voto
1998,Tocantins,3.4744988580733596,voto
2002,Acre,7.646563840688364,voto
2002,Alagoas,8.73210256633987,voto
2002,Amazonas,5.035866789099676,voto
2002,Amapá,8.782986208258835,voto
2002,Bahia,4.364010010332817,voto
2002,Ceará,5.7727701337961985,voto
2002,Distrito Federal,4.542442544072515,voto
2002,Espírito Santo,9.816786356858984,voto
2002,Goiás,5.6941276005791135,voto
2002,Maranhão,6.469576011381896,voto
2002,Minas Gerais,8.5854933254571435,voto
2002,M. G. do Sul,6.184843985429433,voto
2002,Mato Grosso,6.072020287361549,voto
2002,Pará,6.14902512471714,voto
2002,Paraíba,7.207008310382041,voto
2002,Pernambuco,7.9181619976395945,voto
2002,Piauí,5.07965972147738,voto
2002,Paraná,8.159114997470352,voto
2002,Rio de Janeiro,11.263272688102282,voto
2002,R. G. do Norte,5.650837370576747,voto
2002,Rondônia,7.7628446658406,voto
2002,Roraima,6.532808953451268,voto
2002,R. G. do Sul,6.867937624014428,voto
2002,Santa Catarina,5.639053393682642,voto
2002,Sergipe,10.057129526834176,voto
2002,São Paulo,7.998614211233119,voto
2002,Tocantins,5.134355074177433,voto
2006,Acre,7.855993209561458,voto
2006,Alagoas,10.251130623774786,voto
2006,Amazonas,9.283527466174851,voto
2006,Amapá,8.62790148613545,voto
2006,Bahia,5.577595552842523,voto
2006,Ceará,6.479344087121328,voto
2006,Distrito Federal,6.942247299954207,voto
2006,Espírito Santo,7.170338254482139,voto
2006,Goiás,6.608082629707524,voto
2006,Maranhão,9.085917911939715,voto
2006,Minas Gerais,10.37710761668528,voto
2006,M. G. do Sul,5.640238026525988,voto
2006,Mato Grosso,8.06709664760828,voto
2006,Pará,6.504686567029759,voto
2006,Paraíba,6.422041478285088,voto
2006,Pernambuco,9.637749516567851,voto
2006,Piauí,7.646861824388404,voto
2006,Paraná,7.923571048407685,voto
2006,Rio de Janeiro,12.872641611025992,voto
2006,R. G. do Norte,7.635812345816897,voto
2006,Rondônia,7.259183098009881,voto
2006,Roraima,11.412081991272576,voto
2006,R. G. do Sul,8.521627923445495,voto
2006,Santa Catarina,6.231846608390844,voto
2006,Sergipe,7.627881408675263,voto
2006,São Paulo,8.928167314062787,voto
2006,Tocantins,5.7121293660990915,voto
2010,Acre,7.019240146973399,voto
2010,Alagoas,7.623145383836434,voto
2010,Amazonas,9.512171267818596,voto
2010,Amapá,11.486341668821336,voto
2010,Bahia,8.451613234705698,voto
2010,Ceará,8.125860524377266,voto
2010,Distrito Federal,6.991235359237548,voto
2010,Espírito Santo,7.968474525945147,voto
2010,Goiás,8.456816203058908,voto
2010,Maranhão,9.2901636490417,voto
2010,Minas Gerais,10.843941181139716,voto
2010,M. G. do Sul,5.993916376600617,voto
2010,Mato Grosso,8.101438344622988,voto
2010,Pará,6.8486519617550226,voto
2010,Paraíba,5.981060796591634,voto
2010,Pernambuco,8.420505382775119,voto
2010,Piauí,6.831601252197876,voto
2010,Paraná,10.3881671173181,voto
2010,Rio de Janeiro,11.839618309574675,voto
2010,R. G. do Norte,8.409617680333096,voto
2010,Rondônia,7.783450914713657,voto
2010,Roraima,8.808784115655008,voto
2010,R. G. do Sul,7.828963420130113,voto
2010,Santa Catarina,6.295361538941217,voto
2010,Sergipe,8.042997877889876,voto
2010,São Paulo,9.209314838519653,voto
2010,Tocantins,7.779461345603957,voto
2014,Acre,9.582176927598676,voto
