ANO_ELEICAO,nep_v,ambito
1994,8.519412091235656,voto
1998,8.151495001356968,voto
2002,9.299308031098414,voto
2006,10.676539751285517,voto
2010,11.292283147321047,voto
2014,14.182461536803691,voto
2018,18.041691608947126,voto
2022,11.461389272261478,voto
