"ANO_ELEICAO","NUM_TURNO","UF","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"1998","1","AL","DEPUTADO FEDERAL","22","PL","3530"
"2002","1","AL","DEPUTADO FEDERAL","22","PL","93276"
"2014","1","AL","DEPUTADO FEDERAL","15","PMDB","189044"
"2010","1","AL","DEPUTADO FEDERAL","15","PMDB","254870"
"1998","1","AL","DEPUTADO FEDERAL","15","PMDB","123223"
"2006","1","AL","DEPUTADO FEDERAL","15","PMDB","270628"
"2002","1","AL","DEPUTADO FEDERAL","15","PMDB","114619"
"2006","1","AL","DEPUTADO FEDERAL","33","PMN","96555"
"2002","1","AL","DEPUTADO FEDERAL","33","PMN","3300"
"1998","1","AL","DEPUTADO FEDERAL","33","PMN","70702"
"2010","1","AL","DEPUTADO FEDERAL","33","PMN","55728"
"2018","1","AL","DEPUTADO FEDERAL","33","PMN","21179"
"2014","1","AL","DEPUTADO FEDERAL","33","PMN","8657"
"2018","1","AL","DEPUTADO FEDERAL","19","PODE","7069"
"2006","1","AL","DEPUTADO FEDERAL","11","PP","112076"
"2018","1","AL","DEPUTADO FEDERAL","11","PP","180230"
"2014","1","AL","DEPUTADO FEDERAL","11","PP","132864"
"2010","1","AL","DEPUTADO FEDERAL","11","PP","102066"
"1998","1","AL","DEPUTADO FEDERAL","11","PPB","44740"
"2002","1","AL","DEPUTADO FEDERAL","11","PPB","50339"
"2018","1","AL","DEPUTADO FEDERAL","54","PPL","2184"
"2014","1","AL","DEPUTADO FEDERAL","54","PPL","1746"
"2014","1","AL","DEPUTADO FEDERAL","23","PPS","26139"
"1998","1","AL","DEPUTADO FEDERAL","23","PPS","32255"
"2006","1","AL","DEPUTADO FEDERAL","23","PPS","76385"
"2002","1","AL","DEPUTADO FEDERAL","23","PPS","42274"
"2010","1","AL","DEPUTADO FEDERAL","23","PPS","3615"
"2018","1","AL","DEPUTADO FEDERAL","23","PPS","13225"
"2018","1","AL","DEPUTADO FEDERAL","22","PR","100846"
"2010","1","AL","DEPUTADO FEDERAL","22","PR","57735"
"2014","1","AL","DEPUTADO FEDERAL","22","PR","80360"
"2014","1","AL","DEPUTADO FEDERAL","10","PRB","10114"
"2010","1","AL","DEPUTADO FEDERAL","10","PRB","12513"
"2006","1","AL","DEPUTADO FEDERAL","10","PRB","15017"
"2018","1","AL","DEPUTADO FEDERAL","10","PRB","74491"
"1998","1","AL","DEPUTADO FEDERAL","36","PRN","3843"
"2002","1","AL","DEPUTADO FEDERAL","56","PRONA","37651"
"1998","1","AL","DEPUTADO FEDERAL","56","PRONA","1796"
"2006","1","AL","DEPUTADO FEDERAL","56","PRONA","28006"
"2014","1","AL","DEPUTADO FEDERAL","90","PROS","85006"
"2018","1","AL","DEPUTADO FEDERAL","90","PROS","7950"
"2002","1","AL","DEPUTADO FEDERAL","44","PRP","2758"
"1998","1","AL","DEPUTADO FEDERAL","44","PRP","2761"
"2010","1","AL","DEPUTADO FEDERAL","44","PRP","2766"
"2018","1","AL","DEPUTADO FEDERAL","44","PRP","1841"
"2006","1","AL","DEPUTADO FEDERAL","44","PRP","3744"
"2014","1","AL","DEPUTADO FEDERAL","44","PRP","69104"
"2010","1","AL","DEPUTADO FEDERAL","28","PRTB","4465"
"2014","1","AL","DEPUTADO FEDERAL","28","PRTB","179135"
"2018","1","AL","DEPUTADO FEDERAL","28","PRTB","31913"
"1998","1","AL","DEPUTADO FEDERAL","28","PRTB","229"
"2002","1","AL","DEPUTADO FEDERAL","28","PRTB","62381"
"2006","1","AL","DEPUTADO FEDERAL","28","PRTB","8891"
"2014","1","AL","DEPUTADO FEDERAL","40","PSB","5935"
"2006","1","AL","DEPUTADO FEDERAL","40","PSB","151297"
"1998","1","AL","DEPUTADO FEDERAL","40","PSB","104173"
"2018","1","AL","DEPUTADO FEDERAL","40","PSB","182185"
"2002","1","AL","DEPUTADO FEDERAL","40","PSB","202556"
"2010","1","AL","DEPUTADO FEDERAL","40","PSB","98318"
"2002","1","AL","DEPUTADO FEDERAL","20","PSC","404"
"1998","1","AL","DEPUTADO FEDERAL","20","PSC","268"
"2018","1","AL","DEPUTADO FEDERAL","20","PSC","14818"
"2010","1","AL","DEPUTADO FEDERAL","20","PSC","22800"
"2014","1","AL","DEPUTADO FEDERAL","20","PSC","2682"
"2006","1","AL","DEPUTADO FEDERAL","20","PSC","952"
"2014","1","AL","DEPUTADO FEDERAL","55","PSD","3681"
"1998","1","AL","DEPUTADO FEDERAL","41","PSD","66172"
"2018","1","AL","DEPUTADO FEDERAL","55","PSD","144010"
"2002","1","AL","DEPUTADO FEDERAL","45","PSDB","94736"
"2010","1","AL","DEPUTADO FEDERAL","45","PSDB","263762"
"2014","1","AL","DEPUTADO FEDERAL","45","PSDB","202250"
"2006","1","AL","DEPUTADO FEDERAL","45","PSDB","60105"
"2018","1","AL","DEPUTADO FEDERAL","45","PSDB","124158"
"1998","1","AL","DEPUTADO FEDERAL","45","PSDB","159426"
"2010","1","AL","DEPUTADO FEDERAL","27","PSDC","908"
"2014","1","AL","DEPUTADO FEDERAL","27","PSDC","2194"
"2006","1","AL","DEPUTADO FEDERAL","27","PSDC","1406"
"2002","1","AL","DEPUTADO FEDERAL","27","PSDC","216"
"2018","1","AL","DEPUTADO FEDERAL","17","PSL","44455"
"2010","1","AL","DEPUTADO FEDERAL","17","PSL","884"
"2014","1","AL","DEPUTADO FEDERAL","17","PSL","553"
"2002","1","AL","DEPUTADO FEDERAL","17","PSL","2726"
"1998","1","AL","DEPUTADO FEDERAL","31","PSN","3831"
"2014","1","AL","DEPUTADO FEDERAL","50","PSOL","11681"
"2006","1","AL","DEPUTADO FEDERAL","50","PSOL","12167"
"2018","1","AL","DEPUTADO FEDERAL","50","PSOL","8407"
"2010","1","AL","DEPUTADO FEDERAL","50","PSOL","15880"
"1998","1","AL","DEPUTADO FEDERAL","18","PST","360"
"2002","1","AL","DEPUTADO FEDERAL","18","PST","556"
"2018","1","AL","DEPUTADO FEDERAL","16","PSTU","662"
"2014","1","AL","DEPUTADO FEDERAL","16","PSTU","2046"
"1998","1","AL","DEPUTADO FEDERAL","16","PSTU","1294"
"2002","1","AL","DEPUTADO FEDERAL","16","PSTU","1699"
"2006","1","AL","DEPUTADO FEDERAL","16","PSTU","843"
"2010","1","AL","DEPUTADO FEDERAL","13","PT","85359"
"2018","1","AL","DEPUTADO FEDERAL","13","PT","72358"
"2002","1","AL","DEPUTADO FEDERAL","13","PT","50034"
"2014","1","AL","DEPUTADO FEDERAL","13","PT","64621"
"1998","1","AL","DEPUTADO FEDERAL","13","PT","54907"
"2006","1","AL","DEPUTADO FEDERAL","13","PT","49079"
"2010","1","AL","DEPUTADO FEDERAL","70","PT do B","92358"
"2006","1","AL","DEPUTADO FEDERAL","70","PT do B","5338"
"2014","1","AL","DEPUTADO FEDERAL","70","PT do B","27780"
"2002","1","AL","DEPUTADO FEDERAL","70","PT do B","4003"
"1998","1","AL","DEPUTADO FEDERAL","70","PT do B","718"
"2018","1","AL","DEPUTADO FEDERAL","14","PTB","93806"
"2010","1","AL","DEPUTADO FEDERAL","14","PTB","292107"
"2002","1","AL","DEPUTADO FEDERAL","14","PTB","235003"
"1998","1","AL","DEPUTADO FEDERAL","14","PTB","57652"
"2006","1","AL","DEPUTADO FEDERAL","14","PTB","106099"
"2014","1","AL","DEPUTADO FEDERAL","14","PTB","28291"
"2002","1","AL","DEPUTADO FEDERAL","36","PTC","1581"
"2006","1","AL","DEPUTADO FEDERAL","36","PTC","735"
"2010","1","AL","DEPUTADO FEDERAL","36","PTC","409"
"2014","1","AL","DEPUTADO FEDERAL","36","PTC","2574"
"2018","1","AL","DEPUTADO FEDERAL","36","PTC","20789"
"2002","1","AL","DEPUTADO FEDERAL","19","PTN","1112"
"2010","1","AL","DEPUTADO FEDERAL","19","PTN","1205"
"2006","1","AL","DEPUTADO FEDERAL","19","PTN","882"
"1998","1","AL","DEPUTADO FEDERAL","19","PTN","1249"
"2010","1","AL","DEPUTADO FEDERAL","43","PV","2555"
"2014","1","AL","DEPUTADO FEDERAL","43","PV","2208"
"2006","1","AL","DEPUTADO FEDERAL","43","PV","38672"
"2018","1","AL","DEPUTADO FEDERAL","43","PV","2091"
"2002","1","AL","DEPUTADO FEDERAL","43","PV","1074"
"1998","1","AL","DEPUTADO FEDERAL","43","PV","625"
"2018","1","AL","DEPUTADO FEDERAL","18","REDE","54670"
"2014","1","AL","DEPUTADO FEDERAL","77","SD","137402"
"2018","1","AL","DEPUTADO FEDERAL","77","SOLIDARIEDADE","9906"
"2018","1","AM","DEPUTADO FEDERAL","70","AVANTE","18561"
"2018","1","AM","DEPUTADO FEDERAL","27","DC","33372"
"2018","1","AM","DEPUTADO FEDERAL","25","DEM","77965"
"2014","1","AM","DEPUTADO FEDERAL","25","DEM","107209"
"2010","1","AM","DEPUTADO FEDERAL","25","DEM","183595"
"2018","1","AM","DEPUTADO FEDERAL","15","MDB","67898"
"2002","1","AM","DEPUTADO FEDERAL","26","PAN","1755"
"2006","1","AM","DEPUTADO FEDERAL","26","PAN","11367"
"2018","1","AM","DEPUTADO FEDERAL","51","PATRI","10613"
"2006","1","AM","DEPUTADO FEDERAL","65","PC do B","97456"
"2010","1","AM","DEPUTADO FEDERAL","65","PC do B","88210"
"2002","1","AM","DEPUTADO FEDERAL","65","PC do B","200850"
"1998","1","AM","DEPUTADO FEDERAL","65","PC do B","69148"
"2018","1","AM","DEPUTADO FEDERAL","65","PC do B","26412"
"2014","1","AM","DEPUTADO FEDERAL","65","PC do B","61162"
"2014","1","AM","DEPUTADO FEDERAL","21","PCB","1258"
"2006","1","AM","DEPUTADO FEDERAL","21","PCB","501"
"2002","1","AM","DEPUTADO FEDERAL","21","PCB","1106"
"2010","1","AM","DEPUTADO FEDERAL","21","PCB","1313"
"2006","1","AM","DEPUTADO FEDERAL","29","PCO","231"
"2010","1","AM","DEPUTADO FEDERAL","12","PDT","6601"
"2018","1","AM","DEPUTADO FEDERAL","12","PDT","27631"
"2014","1","AM","DEPUTADO FEDERAL","12","PDT","10900"
"1998","1","AM","DEPUTADO FEDERAL","12","PDT","4415"
"2006","1","AM","DEPUTADO FEDERAL","12","PDT","15991"
"2002","1","AM","DEPUTADO FEDERAL","12","PDT","11456"
"2014","1","AM","DEPUTADO FEDERAL","51","PEN","644"
"2006","1","AM","DEPUTADO FEDERAL","25","PFL","165524"
"1998","1","AM","DEPUTADO FEDERAL","25","PFL","362505"
"2002","1","AM","DEPUTADO FEDERAL","25","PFL","369717"
"2002","1","AM","DEPUTADO FEDERAL","30","PGT","796"
"2006","1","AM","DEPUTADO FEDERAL","31","PHS","19050"
"2014","1","AM","DEPUTADO FEDERAL","31","PHS","19680"
"2018","1","AM","DEPUTADO FEDERAL","31","PHS","47654"
"2002","1","AM","DEPUTADO FEDERAL","31","PHS","1297"
"2010","1","AM","DEPUTADO FEDERAL","31","PHS","4112"
"2002","1","AM","DEPUTADO FEDERAL","22","PL","257729"
"1998","1","AM","DEPUTADO FEDERAL","22","PL","72744"
"2006","1","AM","DEPUTADO FEDERAL","22","PL","86268"
"2018","1","AM","DEPUTADO FEDERAL","35","PMB","3765"
"1998","1","AM","DEPUTADO FEDERAL","15","PMDB","9870"
"2002","1","AM","DEPUTADO FEDERAL","15","PMDB","13314"
"2010","1","AM","DEPUTADO FEDERAL","15","PMDB","203941"
"2014","1","AM","DEPUTADO FEDERAL","15","PMDB","208803"
"2006","1","AM","DEPUTADO FEDERAL","15","PMDB","219012"
"2006","1","AM","DEPUTADO FEDERAL","33","PMN","31867"
"2014","1","AM","DEPUTADO FEDERAL","33","PMN","3835"
"2010","1","AM","DEPUTADO FEDERAL","33","PMN","90582"
"1998","1","AM","DEPUTADO FEDERAL","33","PMN","6014"
"2018","1","AM","DEPUTADO FEDERAL","33","PMN","17586"
"2002","1","AM","DEPUTADO FEDERAL","33","PMN","2053"
"2018","1","AM","DEPUTADO FEDERAL","19","PODE","42138"
"2006","1","AM","DEPUTADO FEDERAL","11","PP","238420"
"2018","1","AM","DEPUTADO FEDERAL","11","PP","130374"
"2014","1","AM","DEPUTADO FEDERAL","11","PP","75554"
"2010","1","AM","DEPUTADO FEDERAL","11","PP","263761"
"2002","1","AM","DEPUTADO FEDERAL","11","PPB","3430"
"1998","1","AM","DEPUTADO FEDERAL","11","PPB","72800"
"2014","1","AM","DEPUTADO FEDERAL","54","PPL","656"
"2018","1","AM","DEPUTADO FEDERAL","54","PPL","3026"
"1998","1","AM","DEPUTADO FEDERAL","23","PPS","3445"
"2010","1","AM","DEPUTADO FEDERAL","23","PPS","3758"
"2006","1","AM","DEPUTADO FEDERAL","23","PPS","8034"
"2014","1","AM","DEPUTADO FEDERAL","23","PPS","115373"
"2018","1","AM","DEPUTADO FEDERAL","23","PPS","8948"
"2002","1","AM","DEPUTADO FEDERAL","23","PPS","9475"
"2014","1","AM","DEPUTADO FEDERAL","22","PR","123448"
"2010","1","AM","DEPUTADO FEDERAL","22","PR","138800"
"2018","1","AM","DEPUTADO FEDERAL","22","PR","121010"
"2010","1","AM","DEPUTADO FEDERAL","10","PRB","503"
"2018","1","AM","DEPUTADO FEDERAL","10","PRB","230061"
"2014","1","AM","DEPUTADO FEDERAL","10","PRB","49644"
"2002","1","AM","DEPUTADO FEDERAL","56","PRONA","1998"
"1998","1","AM","DEPUTADO FEDERAL","56","PRONA","1420"
"2006","1","AM","DEPUTADO FEDERAL","56","PRONA","66278"
"2018","1","AM","DEPUTADO FEDERAL","90","PROS","18354"
"2014","1","AM","DEPUTADO FEDERAL","90","PROS","11656"
"2006","1","AM","DEPUTADO FEDERAL","44","PRP","3343"
"2014","1","AM","DEPUTADO FEDERAL","44","PRP","13777"
"2018","1","AM","DEPUTADO FEDERAL","44","PRP","12588"
"2010","1","AM","DEPUTADO FEDERAL","44","PRP","12753"
"2002","1","AM","DEPUTADO FEDERAL","44","PRP","1512"
"2010","1","AM","DEPUTADO FEDERAL","28","PRTB","1629"
"2006","1","AM","DEPUTADO FEDERAL","28","PRTB","1264"
"2018","1","AM","DEPUTADO FEDERAL","28","PRTB","2715"
"2014","1","AM","DEPUTADO FEDERAL","28","PRTB","91"
"2002","1","AM","DEPUTADO FEDERAL","28","PRTB","8241"
"2018","1","AM","DEPUTADO FEDERAL","40","PSB","54686"
"2002","1","AM","DEPUTADO FEDERAL","40","PSB","4342"
"2010","1","AM","DEPUTADO FEDERAL","40","PSB","71344"
"2014","1","AM","DEPUTADO FEDERAL","40","PSB","62455"
"1998","1","AM","DEPUTADO FEDERAL","40","PSB","3568"
"2006","1","AM","DEPUTADO FEDERAL","40","PSB","131379"
"2018","1","AM","DEPUTADO FEDERAL","20","PSC","7391"
"2010","1","AM","DEPUTADO FEDERAL","20","PSC","154960"
"2002","1","AM","DEPUTADO FEDERAL","20","PSC","24367"
"2014","1","AM","DEPUTADO FEDERAL","20","PSC","2759"
"2006","1","AM","DEPUTADO FEDERAL","20","PSC","421"
"2014","1","AM","DEPUTADO FEDERAL","55","PSD","330221"
"2018","1","AM","DEPUTADO FEDERAL","55","PSD","188520"
"2014","1","AM","DEPUTADO FEDERAL","45","PSDB","258835"
"2010","1","AM","DEPUTADO FEDERAL","45","PSDB","16747"
"2018","1","AM","DEPUTADO FEDERAL","45","PSDB","82337"
"1998","1","AM","DEPUTADO FEDERAL","45","PSDB","110639"
"2006","1","AM","DEPUTADO FEDERAL","45","PSDB","9711"
"2002","1","AM","DEPUTADO FEDERAL","45","PSDB","11559"
"2014","1","AM","DEPUTADO FEDERAL","27","PSDC","1006"
"2002","1","AM","DEPUTADO FEDERAL","27","PSDC","2420"
"2006","1","AM","DEPUTADO FEDERAL","27","PSDC","1831"
"2010","1","AM","DEPUTADO FEDERAL","27","PSDC","199"
"2010","1","AM","DEPUTADO FEDERAL","17","PSL","13483"
"2002","1","AM","DEPUTADO FEDERAL","17","PSL","59992"
"2014","1","AM","DEPUTADO FEDERAL","17","PSL","3402"
"1998","1","AM","DEPUTADO FEDERAL","17","PSL","46099"
