aa_eleicao;sg_uf;cd_cargo;nm_cargo;qt_votos_validos_qe;qt_vagas_qe;vr_quociente_eleitoral;tx_legenda_tot;qt_vagas_qp_preenchida;qt_vagas_media_qp;qt_vagas_qp_obtida;qt_votos_coligacao_qp
2022;MG;6;Deputado Federal;11181098;53;210964;UNIÃO;3;0;3;669076
2022;MG;6;Deputado Federal;11181098;53;210964;PP;3;0;3;655458
2022;RJ;7;Deputado Estadual;8492935;70;121328;PSD;5;1;5;645331
2022;PR;6;Deputado Federal;6038642;30;201288;UNIÃO;3;1;3;641875
2022;PE;6;Deputado Federal;4969863;25;198795;PL;3;1;3;636231
2022;RS;7;Deputado Estadual;6155799;55;111924;MDB;5;1;5;629558
2022;MA;6;Deputado Federal;3706498;18;205917;PL;3;1;3;626039
2022;CE;6;Deputado Federal;5108239;22;232193;PSD;2;1;2;621809
2022;BA;6;Deputado Federal;7958431;39;204062;PL;3;0;3;620140
2022;CE;6;Deputado Federal;5108239;22;232193;PT / PV / PC do B;2;1;2;619292
2022;SP;7;Deputado Estadual;23245861;94;247296;PSC;2;0;2;613796
2022;PR;6;Deputado Federal;6038642;30;201288;PL;2;1;2;593160
2022;RN;7;Deputado Estadual;1865045;24;77710;CIDADANIA / PSDB;7;3;7;588122
2022;RS;6;Deputado Federal;6149822;31;198381;MDB;2;1;2;586325
2022;PI;7;Deputado Estadual;1970638;30;65688;MDB;8;1;8;577108
2022;GO;6;Deputado Federal;3439644;17;202332;PL;2;2;2;574775
2022;RJ;6;Deputado Federal;8575988;46;186435;PP;3;0;3;569050
2022;MG;7;Deputado Estadual;11076602;77;143852;CIDADANIA / PSDB;3;1;3;553105
2022;RS;6;Deputado Federal;6149822;31;198381;REPUBLICANOS;2;1;2;549530
2022;RS;7;Deputado Estadual;6155799;55;111924;REPUBLICANOS;4;1;4;546106
2022;AL;6;Deputado Federal;1650763;9;183418;PP;2;2;2;546041
2022;RS;7;Deputado Estadual;6155799;55;111924;CIDADANIA / PSDB;4;1;4;543632
2022;MG;6;Deputado Federal;11181098;53;210964;PATRIOTA;2;1;2;543201
2022;PA;6;Deputado Federal;4521516;17;265972;PL;2;1;2;539998
2022;PE;6;Deputado Federal;4969863;25;198795;PT / PV / PC do B;2;1;2;535934
2022;BA;6;Deputado Federal;7958431;39;204062;REPUBLICANOS;2;1;2;533293
2022;RJ;7;Deputado Estadual;8492935;70;121328;REDE / PSOL;4;1;4;528092
2022;SC;6;Deputado Federal;3969848;16;248115;PT / PV / PC do B;2;0;2;524433
2022;RS;6;Deputado Federal;6149822;31;198381;PP;2;1;2;522295
2022;RS;7;Deputado Estadual;6155799;55;111924;PL;4;1;4;519833
2022;PR;7;Deputado Estadual;6058064;54;112186;PL;4;1;4;508763
2022;SC;7;Deputado Estadual;4004036;40;100101;MDB;5;1;5;505571
2022;CE;7;Deputado Estadual;5054996;46;109891;PL;4;0;4;495261
2022;RJ;6;Deputado Federal;8575988;46;186435;REPUBLICANOS;2;1;2;494330
2022;PE;7;Deputado Estadual;5013585;49;102318;UNIÃO;4;1;4;484166
2022;PR;7;Deputado Estadual;6058064;54;112186;PP;4;0;4;484051
2022;RS;6;Deputado Federal;6149822;31;198381;CIDADANIA / PSDB;2;1;2;480995
2022;PB;6;Deputado Federal;2209355;12;184113;REPUBLICANOS;2;1;2;478581
2022;MG;7;Deputado Estadual;11076602;77;143852;REPUBLICANOS;3;0;3;475359
2022;BA;7;Deputado Estadual;7937716;63;125995;PL;3;1;3;469296
2022;RS;7;Deputado Estadual;6155799;55;111924;PDT;4;0;4;467723
2022;PE;6;Deputado Federal;4969863;25;198795;UNIÃO;2;1;2;461431
